Company,Role,Job Type,Eligible Branches,Minimum CGPA,Location,CTC (LPA),Stipend (Monthly INR),Required Skills,Selection Process
Cisco,Backend Engineer,Intern+FTE,"COE,COPC,ECE",6.5,Hyderabad,7.35,60000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Siemens,Embedded Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",6.0,Hyderabad,54.18,30000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
American Express,Full Stack Developer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.5,Mumbai,33.29,25000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Goldman Sachs,Cloud Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",7.5,Chennai,37.82,25000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Frontend Engineer,Intern,"COE,COPC",7.5,Hyderabad,17.63,70000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
IBM,AI/ML Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,6.0,Mumbai,38.6,25000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Oracle,DevOps Engineer,FTE,B.E. All Branches,6.5,Hyderabad,21.83,150000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Amazon,QA Engineer,Intern,"COE,COPC,ECE",9.0,Hyderabad,18.31,60000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Deloitte,Data Scientist,Intern+FTE,"COE,COPC,ECE,ENC",7.0,Noida,30.48,70000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,Data Scientist,Intern+FTE,B.E. All Branches,8.5,Noida,43.9,30000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Walmart Global Tech,Cloud Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",7.0,Bengaluru,26.49,125000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Goldman Sachs,Software Development Engineer,FTE,"COE,COPC",6.5,Chennai,49.47,80000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
American Express,QA Engineer,Intern+FTE,"COE,COPC,ECE,ENC",6.5,Noida,32.96,100000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
HCLTech,DevOps Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,7.5,Chennai,35.1,150000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Goldman Sachs,Frontend Engineer,Intern,"COE,COPC",6.5,Pune,33.51,30000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Siemens,Business Analyst,Intern+Performance Based Chance of FTE,B.E. All Branches,7.5,Gurugram,38.21,80000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
