id,company,branch,role,interview_type,difficulty,topic,question,answer
1,Oracle,CSE,Frontend Engineer,Coding,Hard,DSA,Explain binary search.,Searches a sorted array in O(log n).
2,NVIDIA,ECE,FPGA Engineer,Technical,Medium,Communication Systems,What is modulation?,Encode information onto carrier.
3,Intel,ECE,Electronics Engineer,Technical,Medium,VLSI,Setup vs hold time?,Timing constraints.
4,HCL,CSE,Data Engineer,Technical,Hard,Node.js,What is Express?,A Node.js web framework.
5,Texas Instruments,ECE,Electronics Engineer,Technical,Medium,Digital Electronics,What is a flip-flop?,A bistable storage element.
6,Samsung,ECE,FPGA Engineer,Technical,Hard,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
7,Cognizant,CSE,Backend Engineer,Technical,Hard,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
8,NVIDIA,ECE,Electronics Engineer,Technical,Easy,DSP,What is sampling theorem?,Sample at least twice highest frequency.
9,Adobe,CSE,AI Engineer,Technical,Medium,System Design,What is caching?,Stores frequently accessed data.
10,Qualcomm,ECE,VLSI Engineer,Technical,Hard,FPGA,What is FPGA?,Programmable logic device.
11,Bosch,ECE,Embedded Engineer,Technical,Hard,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
12,TCS,CSE,AI Engineer,Technical,Hard,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
13,Microsoft,CSE,Software Engineer,HR,Medium,HR,Why should we hire you?,Highlight relevant strengths.
14,Texas Instruments,ECE,FPGA Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
15,Texas Instruments,ECE,FPGA Engineer,HR,Easy,HR,Why should we hire you?,Highlight relevant strengths.
16,Qualcomm,ECE,Embedded Engineer,Technical,Easy,Communication Systems,What is modulation?,Encode information onto carrier.
17,Infosys,CSE,ML Engineer,Technical,Medium,SQL,What is JOIN?,Combines rows from multiple tables.
18,Qualcomm,ECE,Embedded Engineer,Technical,Easy,Verilog,What is an always block?,Defines procedural logic.
19,Texas Instruments,ECE,Embedded Engineer,Technical,Easy,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
20,NVIDIA,CSE,Software Engineer,Coding,Medium,DSA,Explain binary search.,Searches a sorted array in O(log n).
21,Capgemini,CSE,Software Engineer,Technical,Easy,Python,Difference between list and tuple?,Lists are mutable; tuples are immutable.
22,PhonePe,CSE,AI Engineer,Technical,Easy,Machine Learning,Bias vs variance?,Tradeoff between underfitting and overfitting.
23,Samsung,ECE,FPGA Engineer,Technical,Easy,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
24,Cisco,ECE,Electronics Engineer,Technical,Easy,Verilog,What is an always block?,Defines procedural logic.
25,Infineon,ECE,Embedded Engineer,Technical,Easy,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
26,Flipkart,CSE,Frontend Engineer,HR,Easy,HR,Why should we hire you?,Highlight relevant strengths.
27,Analog Devices,ECE,Hardware Engineer,Technical,Easy,VLSI,Setup vs hold time?,Timing constraints.
28,NVIDIA,ECE,Electronics Engineer,Technical,Medium,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
29,TCS,CSE,Data Engineer,Technical,Hard,Machine Learning,Bias vs variance?,Tradeoff between underfitting and overfitting.
30,STMicroelectronics,ECE,FPGA Engineer,Technical,Hard,VHDL,What is an entity?,Defines module interface.
31,Flipkart,CSE,Software Engineer,HR,Hard,HR,Tell me about yourself.,"Summarize education, skills and goals."
32,NXP,ECE,Embedded Engineer,Technical,Hard,Digital Electronics,What is a flip-flop?,A bistable storage element.
33,Intel,CSE,Frontend Engineer,Coding,Easy,DSA,Explain binary search.,Searches a sorted array in O(log n).
34,Intel,CSE,Frontend Engineer,Technical,Medium,DBMS,What is normalization?,Reduces redundancy in databases.
35,STMicroelectronics,ECE,VLSI Engineer,Technical,Medium,VLSI,Setup vs hold time?,Timing constraints.
36,Analog Devices,ECE,Electronics Engineer,Technical,Hard,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
37,Google,CSE,Data Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
38,NVIDIA,CSE,ML Engineer,Technical,Easy,Machine Learning,What is overfitting?,Model memorizes training data.
39,Texas Instruments,ECE,VLSI Engineer,Technical,Hard,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
40,Flipkart,CSE,ML Engineer,Technical,Easy,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
41,Bosch,ECE,Hardware Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
42,Samsung,ECE,Embedded Engineer,Technical,Medium,Signals,Energy vs power signal?,Classification by energy/power.
43,Samsung,ECE,VLSI Engineer,Technical,Easy,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
44,Qualcomm,ECE,Hardware Engineer,Technical,Hard,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
45,Accenture,CSE,ML Engineer,Technical,Easy,React,What is JSX?,JavaScript XML syntax.
46,Intel,CSE,Frontend Engineer,Technical,Easy,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
47,Texas Instruments,ECE,VLSI Engineer,Technical,Hard,Signals,What is Fourier Transform?,Converts time to frequency domain.
48,IBM,CSE,ML Engineer,Technical,Easy,OOP,What is polymorphism?,Ability of an object to take many forms.
49,Microsoft,CSE,ML Engineer,Technical,Hard,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
50,Google,CSE,Data Engineer,Technical,Easy,Computer Networks,What is DNS?,Translates domain names to IP addresses.
51,Adobe,CSE,Frontend Engineer,Technical,Hard,Deep Learning,What is CNN?,Convolutional Neural Network.
52,Amazon,CSE,Frontend Engineer,Technical,Easy,JavaScript,What is closure?,Function with preserved lexical scope.
53,Oracle,CSE,Frontend Engineer,Technical,Medium,SQL,What is JOIN?,Combines rows from multiple tables.
54,Qualcomm,ECE,FPGA Engineer,Technical,Easy,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
55,Accenture,CSE,AI Engineer,Technical,Hard,Deep Learning,What is CNN?,Convolutional Neural Network.
56,NXP,ECE,VLSI Engineer,Technical,Easy,FPGA,What is FPGA?,Programmable logic device.
57,Google,CSE,ML Engineer,HR,Hard,HR,Why should we hire you?,Highlight relevant strengths.
58,Capgemini,CSE,Software Engineer,Technical,Medium,Operating Systems,Difference between process and thread?,Processes have separate memory; threads share memory.
59,Texas Instruments,ECE,VLSI Engineer,Technical,Hard,Embedded C,What is UART?,Serial communication protocol.
60,Cisco,ECE,Embedded Engineer,Technical,Hard,VHDL,What is an entity?,Defines module interface.
61,Cisco,CSE,ML Engineer,Technical,Easy,DBMS,What is a primary key?,A unique identifier for a row.
62,NVIDIA,ECE,FPGA Engineer,Technical,Medium,Verilog,What is an always block?,Defines procedural logic.
63,NVIDIA,CSE,Backend Engineer,Technical,Hard,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
64,NVIDIA,ECE,VLSI Engineer,Technical,Hard,FPGA,What is FPGA?,Programmable logic device.
65,Analog Devices,ECE,Electronics Engineer,Technical,Easy,Embedded C,What is UART?,Serial communication protocol.
66,Google,CSE,ML Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
67,Samsung,ECE,Electronics Engineer,Technical,Easy,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
68,Intel,CSE,Software Engineer,Technical,Hard,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
69,Bosch,ECE,VLSI Engineer,Aptitude,Hard,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
70,Microsoft,CSE,Frontend Engineer,Technical,Easy,JavaScript,What is closure?,Function with preserved lexical scope.
71,Intel,CSE,AI Engineer,Technical,Hard,Python,Difference between list and tuple?,Lists are mutable; tuples are immutable.
72,Paytm,CSE,Backend Engineer,Coding,Easy,DSA,What is a stack?,A LIFO data structure.
73,Cognizant,CSE,AI Engineer,Technical,Medium,OOP,Explain abstraction.,Hide implementation details and expose essentials.
74,Intel,CSE,AI Engineer,Technical,Medium,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
75,Infineon,ECE,VLSI Engineer,Technical,Easy,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
76,NVIDIA,ECE,Hardware Engineer,Technical,Medium,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
77,NVIDIA,ECE,Hardware Engineer,Technical,Hard,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
